tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,tanggal_menjadi_anggota
1953,SMA,Rencana Menikah,123505578,0,1,41,17207,345883,126329,70725,3,8,7,0,
1984,SMA,Menikah,25228510,0,0,35,6882,23608,22940,23608,2,1,1,0,
1983,Magister,Menikah,90795396,1,1,3,992,23359,24810,15878,4,1,1,0,
1976,SMA,Sendiri,83611000,1,1,29,10115,26299,36414,16184,4,4,1,0,11/10/2012
1962,Sarjana,Menikah,78253666,1,1,61,1584,13539,4484,3960,1,2,2,,
1964,Sarjana,Sendiri,78159398,1,0,36,21026,249900,3576,30018,6,2,5,0,
1954,Magister,Rencana Menikah,105339251,,1,58,4046,154472,15851,442,7,9,4,0,
1979,Sarjana,,83776073,1,0,64,27027,187363,7444,35038,5,7,5,0,
1964,Doktor,Sendiri,82406882,0,1,55,11245,2946,9996,446,3,3,3,0,
1976,Sarjana,Sendiri,52426890,1,0,12,25470,75313,,5352,0,,4,,
1977,Sarjana,Rencana Menikah,332884000,0,0,19,,3489675,0,6069,0,0,,0,5/2/2013
1968,Doktor,Rencana Menikah,83987000,2,1,41,2023,14161,0,0,6,6,5,0,1/18/2013
1968,Magister,Rencana Menikah,166147411,0,0,78,71757,632369,136287,42107,2,6,7,0,
1970,Magister,Sendiri,122375006,0,1,30,15005,159437,25870,,4,9,7,0,
1975,SMP,Sendiri,51622455,1,0,28,12079,25316,39202,19935,1,1,4,0,
1956,Magister,Rencana Menikah,190785436,,0,59,77286,1082787,112601,19302,0,9,6,0,
1975,Doktor,Menikah,,0,0,65,180047,1488928,145656,105196,1,1,7,0,
1963,Doktor,Sendiri,64574106,1,1,11,4116,318,3939,6175,2,2,3,0,
1954,Magister,Menikah,138435000,1,1,65,14161,76874,0,0,4,9,3,0,1/10/2014
1969,Sarjana,Sendiri,79096299,1,0,114,5459,15275,16413,0,1,5,3,0,
1966,Sarjana,Sendiri,132187000,0,0,61,,677705,125426,196231,0,3,7,0,3/14/2014
1952,Sarjana,Rencana Menikah,101011758,0,0,73,8800,186971,126869,47087,1,6,7,0,
1959,Sarjana,Rencana Menikah,94350762,0,0,12,20049,47209,0,10815,2,4,4,0,
1962,Magister,Rencana Menikah,132185834,0,0,4,235876,1105695,24860,21599,3,6,6,,
1956,Sarjana,Rencana Menikah,109732202,0,1,50,17277,137455,11263,0,4,8,7,0,
1978,Sarjana,Menikah,35763513,1,0,73,21335,13915,31205,19494,2,2,1,0,
1991,Sarjana,,127644000,1,0,76,125426,580601,271082,78897,2,2,12,0,2/18/2014
1975,SMA,Sendiri,92900343,0,1,85,191186,375332,366743,290826,7,8,4,0,
1981,SMA,,49661713,1,0,78,43582,20123,7855,19520,1,1,1,0,
1958,Magister,Rencana Menikah,78870292,0,1,51,2433,11289,410,2051,0,2,0,0,
1971,Sarjana,Rencana Menikah,71268246,1,0,15,45941,80393,11647,6874,4,5,3,0,
1946,Doktor,Cerai Mati,111699000,,0,55,82943,370209,95081,40460,2,10,12,0,7/6/2013
1953,Sarjana,Rencana Menikah,99736302,0,1,80,10955,125485,21910,18331,0,4,6,0,
1954,Sarjana,Rencana Menikah,53300000,,1,81,22253,48552,,34391,3,1,1,0,2/27/2014
1971,Magister,Menikah,167128873,0,0,37,100058,,88576,110807,1,3,9,0,
1983,Doktor,Menikah,166606724,0,0,73,42264,304765,60438,52275,1,6,5,0,
1978,Sarjana,Rencana Menikah,118914700,0,1,55,34925,179122,101958,,2,9,6,0,
1968,Doktor,,76484000,1,1,61,0,6069,4046,0,2,0,4,0,1/25/2014
1983,Sarjana,Rencana Menikah,110120983,1,1,47,9320,85109,0,0,4,0,6,0,
1977,Sarjana,Sendiri,325514244,0,0,18,4206,3350256,11245,7924,0,0,1,0,
1956,Doktor,Menikah,69285000,2,1,62,0,76874,12138,0,4,4,4,0,7/5/2013
1963,Magister,Rencana Menikah,75668000,0,0,59,28322,,76874,38437,2,3,2,0,5/8/2013
1956,Doktor,Menikah,158433000,1,2,25,12138,370209,16184,46529,12,9,5,0,3/30/2013
1961,Sarjana,Sendiri,152276450,0,0,20,118419,390780,114113,75835,2,9,4,0,
1973,Magister,Rencana Menikah,165458484,0,0,60,282725,1520515,148755,125538,,5,8,0,
1968,Sarjana,Cerai,172329809,0,0,20,196777,774778,231114,287046,,6,4,0,
1979,Sarjana,Menikah,138817313,0,0,6,44506,931955,256516,60244,0,6,8,0,
1962,SMA,Rencana Menikah,110928081,0,1,77,10634,46775,2815,1585,4,5,5,0,
1974,Magister,Menikah,151599910,0,0,22,28441,514556,44208,25168,1,3,8,0,
1971,Sarjana,Rencana Menikah,111202436,0,1,50,83817,382409,81305,235977,3,5,4,0,
1975,Magister,,164601983,0,0,,66647,,102878,121044,0,5,7,0,
1947,SMA,Cerai,151115234,0,0,55,144766,1192829,258158,197764,2,7,10,0,
1980,Magister,Menikah,105661000,0,0,77,32368,311542,139587,72828,0,6,5,0,6/11/2014
1958,Sarjana,Menikah,118634453,0,1,11,13677,112716,14951,747,1,9,3,0,
1983,Sarjana,,84414440,0,0,32,85187,322101,104424,72718,1,6,7,0,
1954,Magister,,100020844,0,0,75,24486,236354,17838,579,4,9,2,0,
1964,Magister,Rencana Menikah,95020110,0,1,76,14152,149547,16167,14152,5,5,4,0,
1958,Sarjana,Cerai,170112112,0,0,69,108681,1798060,133865,202370,0,4,4,0,
1954,Sarjana,Menikah,136676591,0,1,87,196142,,122599,159239,3,11,5,0,
1959,Magister,Menikah,165583000,0,0,43,291312,236691,449106,295358,0,3,9,0,3/31/2013
1966,Sarjana,,187041788,0,0,31,166150,1632669,312792,145162,2,4,4,0,
1968,Sarjana,Sendiri,99416000,1,1,23,10115,109242,0,18207,6,7,2,0,11/6/2012
1962,Sarjana,Sendiri,152559603,0,0,11,131624,,154939,47797,1,10,5,0,
1968,Sarjana,Rencana Menikah,100686641,0,1,,14524,63666,42277,18320,1,4,2,0,
1963,Sarjana,Rencana Menikah,100590412,0,0,37,81662,322074,104473,73912,0,4,4,0,
1955,Magister,Menikah,118505331,0,0,51,22599,232181,8930,26530,1,8,5,0,
1989,Sarjana,Sendiri,66130082,1,0,69,5984,22674,674,6153,0,3,4,,
1962,Magister,Sendiri,96015401,0,1,85,7496,87307,19999,,6,6,4,0,
1972,Sarjana,Sendiri,150691555,0,0,44,43367,962041,239127,300586,0,6,6,0,
1959,Sarjana,Menikah,155631886,0,0,9,149206,784383,236771,155275,0,7,7,0,
1945,Magister,Menikah,95801738,0,0,57,35153,337812,252334,73641,4,8,4,0,
1982,,Menikah,34735069,1,0,66,19423,16366,30862,21553,3,3,1,0,
1961,Magister,Menikah,141683052,0,1,68,11584,115620,74338,14429,0,2,6,0,
1956,Sarjana,Sendiri,186517250,0,0,79,66727,930153,199478,166588,0,3,5,0,
1959,Sarjana,Rencana Menikah,137776917,0,1,99,17595,97809,25293,17989,3,5,5,0,
1977,Doktor,Menikah,73210000,1,0,41,6069,2023,,0,0,0,3,0,4/14/2013
1948,Doktor,Rencana Menikah,169054227,0,0,39,116173,647501,107283,65110,0,4,11,0,
1960,Sarjana,Sendiri,153914231,0,1,59,65865,541876,285820,240938,2,8,5,0,
1953,Sarjana,Cerai,55120000,2,,55,4046,26299,0,6069,1,2,1,0,3/12/2013
1957,SMA,Rencana Menikah,,0,1,30,15143,61788,4104,0,4,5,8,0,
1991,SMA,Sendiri,44972925,1,0,4,28043,58171,32863,10115,2,1,0,0,
1972,Sarjana,Sendiri,159340609,0,0,44,44551,1241015,163565,127410,0,5,10,,
1968,Doktor,Sendiri,107853965,0,1,46,13202,2386,15496,7122,1,1,5,0,
1963,,Sendiri,77222296,1,0,44,17793,159679,46889,31245,4,3,5,0,
1956,Magister,Menikah,78187272,,0,31,6069,25887,4937,7406,4,1,0,0,
1960,Magister,,151001613,1,1,46,157641,548208,72815,45385,1,6,11,0,
1990,Sarjana,Menikah,74773000,1,0,33,6069,84966,30345,32368,0,0,5,0,5/31/2013
1979,SMP,,53711000,1,0,27,18207,18207,28322,22253,3,5,3,0,5/17/2013
1968,Sarjana,Rencana Menikah,150473963,,,17,202080,1507082,217324,208781,2,8,5,0,
1951,Sarjana,Sendiri,84552000,1,1,25,2023,,16184,22253,3,5,3,0,5/8/2013
1964,Doktor,Menikah,112009967,1,1,66,0,187620,8264,20600,5,5,4,0,
1978,Doktor,Menikah,160258000,0,1,61,145656,900235,141610,143633,2,14,9,0,9/13/2012
1964,Sarjana,Menikah,83176426,1,0,60,11091,265782,325,43854,8,6,5,0,
1961,Sarjana,Sendiri,139305348,0,0,33,65394,1023160,120740,106967,,2,4,0,
1972,Sarjana,Cerai,155985520,0,0,28,159607,1035946,388094,139224,0,6,3,0,
1968,Magister,Rencana Menikah,130826000,0,1,19,86989,208369,0,86989,2,7,9,0,9/12/2013
1968,Sarjana,Rencana Menikah,100675324,0,1,45,14493,63468,,18252,1,4,2,,
1967,Sarjana,Rencana Menikah,130849980,0,0,22,94547,213767,2468,87297,1,7,9,0,
1976,Sarjana,Menikah,,0,,66,115311,1145018,226576,260967,2,6,7,0,5/14/2014
1959,SMA,Menikah,132101556,0,0,31,62058,1077637,13923,69436,3,7,11,0,
1977,Doktor,Rencana Menikah,136519717,0,0,61,92790,796908,,97699,0,4,6,0,
1970,Magister,Sendiri,147621673,0,0,5,65867,1080727,160208,77852,1,2,7,0,
1970,Doktor,Menikah,73974000,1,,8,2023,42483,2023,0,3,0,5,0,5/9/2014
1966,Sarjana,Menikah,157618142,0,0,46,101317,1285118,308054,210755,0,5,3,0,
1963,Sarjana,Sendiri,,0,1,14,15436,112814,,20120,0,8,5,0,
1978,Sarjana,Menikah,53439000,0,0,4,20230,12138,0,26299,3,4,2,0,10/15/2013
1977,Sarjana,Rencana Menikah,90462000,1,1,,16184,153748,18207,26299,4,2,6,0,9/6/2013
1988,SMA,Sendiri,133930462,0,0,100,45677,,148530,252312,0,4,13,0,
1967,Sarjana,Rencana Menikah,,1,1,22,4046,12138,0,0,2,1,,0,12/10/2012
1965,Sarjana,Rencana Menikah,117218962,0,1,91,52718,135596,5676,270147,2,5,4,0,
1949,Magister,Rencana Menikah,106485013,0,0,45,26540,175517,44813,6134,5,9,4,0,
1981,Sarjana,,165484920,,0,49,44466,589248,41555,,2,6,6,0,
1954,Magister,Rencana Menikah,100016000,0,1,76,24276,234668,18207,0,4,9,3,0,4/13/2013
1972,Magister,Rencana Menikah,,0,1,85,55231,475405,36006,,1,10,4,0,
1968,Magister,Rencana Menikah,60714702,1,0,47,7978,20164,8092,5729,1,0,2,0,
1962,Doktor,Sendiri,93716717,0,0,73,6859,232514,,34311,5,,5,0,
1975,SMA,Menikah,90783000,1,0,15,6069,50575,4046,10115,0,4,,0,3/17/2014
1956,Sarjana,Rencana Menikah,143621539,0,0,37,248704,1414876,243010,68915,1,2,7,0,
1986,Sarjana,Sendiri,37785929,0,0,0,9052,6639,11171,480,0,0,2,0,
1967,Sarjana,Rencana Menikah,77945216,1,0,31,10427,60790,21657,20053,2,1,3,0,
1978,Sarjana,Sendiri,69620000,,0,87,0,265013,44506,14161,4,6,4,0,8/8/2013
1985,Magister,Rencana Menikah,76253108,0,0,29,56648,,95760,40913,2,2,,0,
1947,Magister,Rencana Menikah,96162805,0,0,29,16208,436266,187553,95056,4,10,6,0,
1974,SMA,Menikah,69996000,2,1,91,10115,176001,34391,6069,6,5,4,0,8/19/2012
1974,Sarjana,Menikah,150177000,0,1,54,68782,851683,4046,228599,5,2,9,0,1/16/2013
1983,Magister,Sendiri,76305634,1,0,23,3991,231863,33928,0,3,,5,0,
1972,Doktor,Rencana Menikah,163530886,0,1,84,,628626,94315,72062,2,5,2,0,
1950,Sarjana,Sendiri,150674000,0,0,92,74851,621061,91035,36414,2,0,4,0,5/23/2014
1943,Magister,Menikah,117633534,0,0,77,22854,261101,7807,9939,1,8,4,0,
1954,Sarjana,Rencana Menikah,175731468,0,0,52,59719,816579,145350,84246,2,2,11,,
1970,SMP,Menikah,28403856,0,,30,9353,25537,30789,,0,1,3,0,
1980,Sarjana,Rencana Menikah,82706000,1,0,,0,24276,0,0,3,6,3,0,3/29/2013
1962,SMA,Rencana Menikah,139695313,0,0,,188671,430484,215884,255172,0,7,5,0,
1979,Sarjana,Rencana Menikah,81443459,0,,49,5435,23765,0,0,1,0,1,0,
1962,Magister,Menikah,125052648,,0,96,440,62906,793,1057,0,8,7,0,
1969,Sarjana,Rencana Menikah,46027147,1,0,,7202,623,29656,488,4,1,5,0,
1986,Sarjana,Sendiri,84418201,1,0,35,26447,,33174,16332,2,4,5,0,
1988,Magister,Rencana Menikah,158979947,0,0,41,84273,961653,39056,76347,2,3,13,,
1975,Magister,Menikah,172672956,0,,56,108839,576855,96800,,0,6,9,0,
1963,Sarjana,Rencana Menikah,93879755,0,0,75,136290,399098,367200,234660,6,8,4,0,
1973,SMP,Menikah,32094051,1,0,67,3061,8026,37409,94950,,0,3,0,
1985,Magister,Rencana Menikah,174564497,0,0,45,56107,576949,30962,37282,0,7,8,0,
1966,Magister,Menikah,161546000,0,0,79,16184,475405,42483,131495,3,6,8,0,6/27/2014
1980,Sarjana,Rencana Menikah,,0,0,7,,36475,22978,34337,1,3,0,0,
1954,Sarjana,Sendiri,112574000,0,0,54,173978,1100512,356048,178024,2,10,5,0,9/6/2012
1970,Sarjana,Menikah,117868427,0,1,54,149158,763888,204645,68077,4,8,7,,
1970,Sarjana,Sendiri,80277238,1,0,20,2586,162286,10540,26436,3,4,1,0,
1985,SMA,Menikah,57418429,1,0,9,1357,33087,0,14174,0,0,4,0,
1967,Sarjana,Sendiri,124377680,0,0,73,104647,356215,95582,29154,0,6,8,0,
1990,SMP,Menikah,33581395,1,0,28,5933,22498,21050,25232,3,,1,0,
1974,Magister,,84658895,,0,23,102022,365145,113683,87252,1,3,9,0,
1952,Sarjana,Rencana Menikah,176266000,,0,67,220507,1561756,56644,402577,3,4,8,,9/2/2013
1973,Sarjana,Menikah,100016000,1,1,39,6069,86989,18207,28322,6,4,5,0,2/19/2013
1981,Doktor,Rencana Menikah,,1,0,61,2023,105196,0,12138,1,7,4,0,2/10/2013
1948,Sarjana,Menikah,161540000,0,0,48,145656,333795,64736,311542,0,1,6,0,5/26/2013
1973,Sarjana,Sendiri,92943218,0,1,82,102679,275319,204775,158065,6,6,4,0,
1963,Magister,Sendiri,153901755,0,0,72,49782,585569,342634,251434,2,7,3,0,
1960,Sarjana,Sendiri,166436621,0,0,79,110395,1925326,110230,184160,0,4,11,0,
1947,Sarjana,Rencana Menikah,65483000,1,1,17,14161,32368,22253,22253,,0,1,0,8/8/2013
1949,Sarjana,Sendiri,97545000,,1,0,4046,24276,0,6069,4,0,1,0,3/3/2014
1949,Sarjana,Cerai,88614000,0,1,89,14161,74851,38437,2023,3,12,,0,4/7/2013
1975,Sarjana,Rencana Menikah,117722843,0,0,,19804,72610,15511,8477,,8,5,0,
1976,Sarjana,Sendiri,49268637,1,0,27,9743,23722,6613,0,3,0,2,,
1957,Magister,Menikah,123613475,0,1,51,41320,527277,70792,58945,5,9,6,0,
1962,Sarjana,Menikah,104619285,0,0,34,26538,318900,136435,52751,1,3,3,0,
1951,Magister,Menikah,118219790,0,0,60,23166,244653,8646,20294,1,8,5,0,
1976,Doktor,Rencana Menikah,319054000,1,1,27,4046,38437,0,12138,2,0,0,0,
1959,SMA,Sendiri,81445159,1,0,68,22105,26963,18723,13865,1,1,1,,
1954,Magister,Rencana Menikah,149198580,0,0,8,76297,1074689,,149018,0,7,7,0,
1943,Magister,Menikah,117601547,0,0,76,21199,251833,7476,12090,1,8,5,0,
1973,Sarjana,Rencana Menikah,147854094,0,,63,60854,289669,1642,31598,1,3,3,0,
1962,Sarjana,Rencana Menikah,102102777,0,1,77,,42452,10808,,2,7,6,0,
1964,Doktor,Menikah,112029000,1,,73,0,16184,8092,0,0,4,3,0,
1973,,Menikah,80923000,1,1,96,6069,24276,0,,2,4,5,0,5/26/2014
1948,Sarjana,Rencana Menikah,164251314,0,0,63,224368,1526814,38128,87969,,1,8,0,
1957,Sarjana,Cerai,160287000,0,1,91,277151,710073,333795,335818,3,7,8,0,1/26/2014
1968,Sarjana,,37056875,0,0,94,8515,58048,40070,24309,4,0,5,0,
1966,Sarjana,Menikah,143234645,0,1,86,57624,153255,33692,40460,3,6,7,0,
1972,Sarjana,Sendiri,139468211,0,0,39,111246,343858,36413,148665,,8,4,0,
1977,Sarjana,Rencana Menikah,138262328,0,0,5,43959,953937,254772,77086,0,8,7,0,
1977,SMA,Menikah,46364100,1,0,59,4539,21743,23766,8832,1,3,2,0,
1962,Magister,Menikah,172018729,0,0,81,155208,803084,243443,2449,0,3,8,0,
1969,Sarjana,Sendiri,187175160,0,0,74,92725,1224108,168584,142637,1,3,7,0,
1970,Sarjana,Sendiri,99615496,,0,52,18756,172897,6700,14371,2,5,3,0,
1945,Sarjana,Menikah,108894703,0,0,19,63310,221183,89758,17007,1,8,4,0,
1996,SMP,Sendiri,53816566,1,0,55,,9542,11224,6695,0,0,0,0,
1967,SMP,Rencana Menikah,43952000,0,0,,44506,22253,16184,12138,2,4,3,0,1/16/2013
1945,Doktor,Menikah,,0,1,77,58667,68782,28322,0,1,3,,0,12/18/2013
1961,Doktor,Menikah,119386000,0,1,79,2023,121380,10115,2023,4,5,12,0,1/21/2014
1960,Sarjana,Sendiri,166334000,0,0,84,115311,1956241,111265,169932,0,4,12,0,
1974,Sarjana,Sendiri,179557688,0,0,53,58781,1710161,26719,42864,0,5,5,0,
1958,Sarjana,Rencana Menikah,,0,0,13,106181,800040,,119372,1,8,7,0,
1972,Doktor,Menikah,63657000,1,0,85,,,14161,4046,1,1,,0,8/19/2013
1958,Sarjana,Sendiri,100027595,0,1,23,7712,63977,13857,3464,4,7,5,0,
1957,SMA,Rencana Menikah,109504484,0,1,82,18505,,10148,0,5,9,6,0,
1984,SMA,Rencana Menikah,114836748,0,0,71,68348,210956,62685,72791,4,4,6,0,
1946,Magister,Menikah,96132352,0,0,31,16097,434881,194700,,3,10,5,0,
1981,Sarjana,Rencana Menikah,71913000,1,0,83,6069,34391,6069,8092,1,4,5,0,10/17/2013
1969,SMA,Menikah,,0,0,92,47321,136182,62561,47881,4,7,6,0,
1984,Magister,Menikah,153706000,0,0,87,20230,151725,32368,14161,1,,6,0,3/20/2014
1960,Sarjana,Menikah,151760282,0,1,70,126769,400182,149724,79086,3,8,7,0,
1956,Sarjana,Rencana Menikah,98493382,0,1,66,5677,15202,782,3130,1,1,4,0,
1987,Sarjana,Menikah,56651000,1,0,63,2023,24276,12138,10115,0,,3,0,7/2/2013
1955,Sarjana,Rencana Menikah,151962260,0,0,48,164221,335421,122096,75247,3,10,4,0,
1951,Magister,Menikah,135026580,0,1,53,10657,94707,12680,6465,4,4,7,0,
1965,Sarjana,Sendiri,225111560,0,0,25,28508,1914591,199417,174327,,2,7,0,
1957,Sarjana,Rencana Menikah,160397044,0,0,78,21567,1351189,340179,180024,0,3,9,0,
1957,Magister,Menikah,137238397,0,1,57,72995,378767,8750,129460,4,4,12,0,
1967,SMA,Rencana Menikah,99241000,1,1,47,6069,24276,12138,16184,0,,,0,10/17/2013
1970,Magister,Cerai,91671000,1,1,30,6069,14161,0,6069,4,4,3,0,10/13/2013
1975,SMA,Menikah,41707994,0,0,79,10031,23268,,16100,2,1,1,0,
1955,Magister,Rencana Menikah,,0,1,39,,17980,7116,10341,2,10,0,0,
1961,Doktor,Menikah,72197000,1,1,,16184,12138,20230,10115,2,0,3,0,12/27/2013
1968,Magister,Sendiri,100634810,1,1,28,4035,32991,4035,2919,2,1,4,0,
1959,Sarjana,,115629000,0,,89,0,182070,10115,16184,3,11,10,0,11/28/2012
1971,Sarjana,Menikah,110622378,,0,5,24510,277055,30783,10799,8,5,6,,
1947,,Sendiri,109106168,1,1,0,5151,48781,20668,3128,5,,4,0,
1953,Sarjana,Sendiri,128169778,0,,55,280902,477282,176100,161436,1,7,11,0,
1968,Magister,Rencana Menikah,77037073,0,0,44,51130,109314,86405,53554,3,0,4,0,
1943,Magister,Sendiri,,0,0,68,9705,1793123,621600,2074,3,10,6,0,
1983,Sarjana,Rencana Menikah,31762000,1,0,56,8092,26299,4046,0,4,3,2,0,8/28/2012
1963,,Rencana Menikah,119591357,0,1,25,16646,296940,23610,39476,3,5,9,0,
1970,Doktor,Sendiri,83256000,1,,77,0,36414,0,10115,0,0,1,0,10/1/2013
1965,,Rencana Menikah,166292034,0,0,72,83478,728390,204810,39402,2,4,9,0,
1971,Magister,Rencana Menikah,120768180,0,1,51,16126,224195,36306,219728,8,2,8,,
1984,Magister,Sendiri,66319917,1,0,18,12305,38938,0,10226,4,0,6,1,
1983,SMP,Sendiri,,1,,96,12138,9842,20032,3396,2,3,3,0,
1955,Doktor,Menikah,122662000,0,1,13,0,149702,0,2023,5,8,8,0,4/10/2013
1956,Sarjana,Rencana Menikah,,0,1,82,19328,,14682,0,4,10,,0,
1969,Magister,Menikah,104274000,1,1,3,0,192185,34391,0,8,8,7,0,3/8/2013
1950,Sarjana,Rencana Menikah,151034721,0,1,92,153552,1004940,13392,41734,0,13,6,0,
1966,Sarjana,Cerai Mati,84401000,0,1,32,18207,163863,22253,42483,1,4,4,0,8/6/2012
1965,Sarjana,Menikah,140401982,0,0,78,73988,579428,104277,143237,,5,10,0,
1975,SMA,Rencana Menikah,96801000,1,0,100,14161,216461,26299,8092,4,,6,0,5/26/2014
1959,Magister,Rencana Menikah,106910523,1,1,43,8497,192290,18409,,8,8,4,0,
1970,Magister,Rencana Menikah,120882185,1,0,37,37618,,76130,151791,6,4,9,0,
1968,Magister,Rencana Menikah,117164927,0,1,69,2059,90214,72,4592,1,2,11,0,
1964,Sarjana,Rencana Menikah,110787364,0,1,37,29953,271335,23195,4712,7,7,8,0,
1956,Sarjana,Menikah,137868178,0,1,59,56421,435523,28890,77612,3,4,10,0,
1984,,,136898000,0,0,58,107219,695912,145656,109242,0,4,6,0,10/24/2013
1978,Magister,Sendiri,,0,0,13,115311,408646,161840,66759,2,3,12,0,12/17/2013
1956,Sarjana,Rencana Menikah,81626300,0,0,75,24557,139260,33118,,0,3,3,0,
1970,Sarjana,Rencana Menikah,154921813,,0,73,83362,857777,175555,93940,0,5,11,0,
1970,Sarjana,Rencana Menikah,58362000,1,1,91,0,32368,0,12138,5,0,5,0,4/14/2013
1968,SMP,,43945409,0,0,47,40487,22070,18741,,2,3,2,0,
1972,SMA,Rencana Menikah,81745869,1,1,44,8972,17847,10963,5709,2,2,1,0,
1964,Magister,Rencana Menikah,124702357,,1,82,70210,759894,112767,89655,3,11,4,0,
1969,Magister,Sendiri,88133203,1,0,54,10028,70725,31492,1054,0,2,4,0,
1909,Doktor,Rencana Menikah,169967488,0,0,38,252050,1141196,189158,132907,2,4,5,,
1978,Sarjana,Menikah,57781000,,0,48,,24276,32368,22253,1,1,2,0,2/25/2014
1962,SMA,Rencana Menikah,59204529,1,1,4,88,12491,618,12226,2,0,2,0,
1972,Sarjana,Rencana Menikah,32483683,1,0,66,5486,43785,27360,6206,3,2,4,0,
1984,SMA,Rencana Menikah,164849638,0,0,16,50001,651254,95353,89948,1,,9,0,
1969,Magister,Rencana Menikah,121407344,0,1,44,24043,654225,31140,39133,5,9,,0,
1986,Sarjana,Rencana Menikah,91341000,1,0,77,4046,12138,8092,6069,2,1,3,0,5/6/2014
1986,Sarjana,,,,0,13,48763,434324,146376,85230,2,12,10,,
1979,SMA,Rencana Menikah,126763018,0,0,23,61603,619141,183474,217601,2,3,10,0,
1957,Doktor,Rencana Menikah,155876000,0,0,21,38437,845614,50575,62713,3,8,7,0,4/24/2013
1960,Sarjana,Rencana Menikah,136164632,0,1,46,81740,369961,61948,46989,3,8,9,0,
1981,,Sendiri,15320000,1,1,1,16184,10115,,18207,4,,5,0,12/25/2012
1956,Sarjana,Rencana Menikah,106820999,0,1,55,5494,63299,6447,15074,1,1,3,0,
